text,label
"네 옷을 사러갔는데도 나에게 어울리는 옷만 찾으며 환하게 웃고, 얼떨결에 선물로 잔뜩 옷 쇼핑백을 받아 집으로 향할 때 사람들의 쏟아지는 눈길과 손에 들린 옷의 무게가 익숙치 않았지만 그만큼 웃음이 터져나왔다.",4
"애교 없는 네가 힘들어하는 날 위해 요즘 유행하는 애교를 보여주곤 귀까지 새빨개질 때, 빨개진 네 얼굴이 너무 예뻐 심장이 쿵쿵거려서 나도 같이 얼굴이 빨개지곤 했다.",4
"CC로 함께 학교 교정을 거닐고, 2년간 군대에 있던 나를 덤덤하게 기다려주고, 사회생활을 먼저 시작 했으면서도 나를 배려해줬던 내 여자친구는 새로운 이름으로 다시 내 곁에 있다.",3
"내 신부, 평생을 함께할 배우자.",2
하얀 드레스를 입은 네 모습이 너무 아름다워 울어버린 나를 꼭 안아주는 너를 보고 내가 참 좋은 사람을 만났구나 하는 생각을 한다.,4
하늘이 참 사랑스럽다.,3
이번 주말에는 오랜만에 내가 도시락을 싸들고 네 집 앞에서 기다려야지.,2
너는 나에게 항상 좋은 남자친구였다.,3
가끔씩 내가 참 좋아하는 꽃을 사들고 집 앞에서 기다리는 모습은 내가 사랑받는 사람임을 다시금 벅차오르게 알려줬다.,3
"팔짱을 끼고 재잘재잘 혼자 재밌게 이야기를 하다가 너를 올려다보며 ""그치?"" 라고 물어봤을 때 나를 사랑스럽다는 듯이 보는 너의 눈은 내가 참 행복한 사람임을 가슴 저리게 알려줬다.",4
밥을 먹을 때 언제나 크게 한 숟가락 떠서 나에게 먼저 먹여주는 너의 모습에 사람들이 쳐다보면 부끄럽고 쑥스럽기도 했지만 그만큼 즐거운 웃음이 나왔다,3
"손재주 없는 내가 만들어준 각종 편지, 앨범, 도시락을 받을 때마다 네 친구들 사이에선 무뚝뚝하다고 소문난 너가 눈물을 글썽이며 감동받는 모습이 너무 고마웠다.",4
6년 8개월의 연애동안 한결같았던 내 남자친구였던 사람은 떠났다.,0
"앞으로 평생을 함께할 미래의 배우자로서, 미래의 남편이 오늘 내 곁을 지키고 있다.",2
"오늘 아침, 하얀 드레스를 입은 나를 보고 혼자 너무 예쁘다며 울음을 터뜨리다 다시 웃는 걸 반복하는 너를 보며 나는 오늘도 내가 참 좋은 사람을 만났다는 생각이 든다.",4
날씨가 사랑스럽다.,3
내일은 오랜만에 내가 너의 집앞에서 몰래 꽃을 사들고 기다려야지,2
난 신중한 사람이었다.,2
"아니, 적어도 그렇게 믿어왔다.",2
"몇 번의 큰 상처를 겪고, 더 이상 쉽게 누군가에게 마음을 주지 않았다.",1
"그냥 어른이 되어서 그런지도 모르겠지만, 편하게 대화를 하고 시시콜콜한 농담을 해도 절대 그 이상의 선을 넘지 않았다.",2
"개인적인 이야기를 해도 그 이야기에 감정을 담지 않는, 어느 정도 내 삶과 인간관계에 달관한 사람이다.",2
그 사람을 알게 되기 전까지는.,2
그 사람의 유쾌한 웃음과 어설픈 행동에 대책 없이 웃게 되기 전까지는.,3
화려하지않은 옷차림.,2
촌스러운 스타일 위로 흐르는 그의 다정한 목소리를 듣기 전 까지는 말이다.,2
가뭄이든 것처럼 가난하던 마음에 당신이 와서 비를 내렸다.,3
"적어도 나에겐, 뭐랄까, 신기한 인연이었다.",2
내 마음이 가장 가난했을때 당신을 만난 것.,2
당신이 졸업하기 바로 전 마지막 학기에 함께 하게 된 것.,2
그것은 나에게 100만분의 1의 확률 같았다.,2
우리는 꽤 오랬 동안 함께 같은 팀 안에서 프로젝트를 준비했고 적어도 그 기간 동안 우리는 가깝게 있었다.,2
"당신은 작은 것 하나에도 유쾌하게 웃고, 리더로서 맡은 책임이 제일 많고 바빠도 얼굴 한 번 찡그리거나 화낸 적이 없었다.",2
웃으면 생기는 보조개가 늘 내 가슴을 철렁이게 한 건 알까.,3
말이 많은 편은 아니었지만 말 한마디 한마디가 따뜻했다.,3
"누구를 대해도 진심으로 대했고, 나와는 다르게 정이 넘쳐 선 긋는 걸 잘 못하는 사람이었다.",2
"스타일도, 사실 내가 지금껏 만난 사람보단 확실히 별로였던 것 같긴 한데, 당신 눈을 보느라, 목소리를 듣느라 잘 기억은 나지 않는다.",2
"이미 세상 다 산 척 폼 잡던 나와는 다르게, 행동은 어리숙했지만 목소리와 표정, 그리고 당신이 사용하는 언어는 나보다 훨씬 어른스러웠다.",2
뭔가 나이 든 어린 왕자 같았달까.,2
"어쨌든 당신은 메마른 땅에 물을 주듯 나에게 활기를 주었고, 내가 깔깔대며 웃을 수 있다는 것도.",3
알게 해주었다.,2
"분명 그땐 당신의 어정쩡한 행동에 웃은 건데, 시간이 지나서 보니 별것 아닌 당신의 순수한 행동 하나하나가 다 나에겐 소풍이었나보다.",3
"다만 그런 감정이 너무 오랜만이라서, 그리고 당신 곁에 다른 누군가가 이미 있는 것 같아서, 그냥 멀찍이 있었다.",2
"잘은 모르지만, 그런 것 같았다.",2
그런 개인적 얘기를 할 정도로 마음의 거리를 좁히지도 못했다.,2
실없는 농담이나 던지는 정도로.,2
그냥 그렇게 우리의 시간이 지나가게 두었고 역시나 당신은 나를 지나쳐갔다.,2
좀 재수 없지만 난 어딜 가도 호감 표시하는 사람이 있을 정도로 용모적으론 꽤 괜찮은 편인데.,3
부질없는 얘기다.,1
당신은 정말 다행이도 웃는 겉모습과 달리 메마른 장작같은 나를 잘 피해간 것 같다.,1
그땐 당신과 인연이 되고 싶다고 말할 용기가 없었다.,1
"그래서 더욱 일만 했고, 내가 아닌 다른 사람처럼, 당신 주위를 겉돌았다.",1
아마 당신 기억에 나는 맡은 일 잘하는 동료 정도로 남았을 거다.,3
이 마음을 알게 된 지금도 할 수 있는 건 없다.,1
내 마음속에 새싹을 키운 사람이 당신이란 걸 너무 늦게 안 지금 그때의 계절은 벌써 돌아왔고 나는 다시 메말랐다.,1
"너무 바쁜 일상 속에 내 몸 하나 건사하기 힘들어서 허우적대고 있고, 졸업은 다가오는데 취업 길이 고난 길이니, 심적 여유도 없다.",0
이제 당신은 학교에 없고 팀은 뿔뿔이 흩어져 연락도 잘 되지않는다.,1
나는 과제에 짓눌려 매일 밤을 새고 그 와중에도 가끔 당신이 떠오를 때면 변하지 않는 당신의 카톡 프사를 확인한다.,1
"가끔 미친 척 연락을 해보고는 싶지만 정말 답답하게도, 메마른 마음을 다시 키울 자신이 아직은 없다.",1
당신의 무심한 답장 하나하나에 이미 타버린 마음이 더 타버릴 것 같아서이다.,0
"그리고 다 타버린 잿더미에 이제 막 밭을 일구기 시작해서, 아직 누군가를 들여올 여유도 없다.",1
"회복의 시간이, 당장 새싹 하나 찾는 것보다 필요한가보다.",1
"마음의 토양 자체를 조금씩 바꾸고 있어서, 곧 당신이 키운 새싹의 흔적도 없어질 것이다.",2
그래도 밭을 다시 일굴 정도의 용기를 준 건 당신이었다.,3
타이밍이 아니었다고 생각한다.,2
나에겐 힘겹게 만난 인연이지만 당신은 졸업 전 잠시 했던 여러 활동 중 하나였을 테니까.,1
"당신은 마음에 숲이 무성한 사람이었지만 나는 타버린 재만 남아있어서, 당신같이 좋은 사람과 친구로라도 우정을 쌓을 양분이 없었으니까.",1
"그래서, 나는 오늘 이 글을 끝으로, 전하지 못한 이야기를 털어놓고 잠시 싹을 틔운 이전의 퍽퍽한 마음의 잿더미를 정리하고, 마음의 토양 깊은 곳 까지 차차 일구려고 한다.",3
만약 당신이 시간이 좀 지난후 내 앞에 온다면 아마 그때는 당신이 내 마음에 꽃을 피울 수 있지 않을까 싶다.,3
그렇지만 그런 미래는 기대하지 않는다.,1
"나는 오늘부로 완전하게, 아니 거의 마음을 정리했다.",2
당신은 끝까지 모르겠지만 오늘에야 비로소 당신을 마음에서 놓아주고 발길을 돌렸다.,2
갈 길이 머니까.,2
"애초에 내가 무슨 말을 하고 있는지, 이 두서없고 어물쩍한 글을 읽고 알 수 있는 사람이 있긴 할까.",1
그냥 요즈음 공부가 너무 힘들고 피곤해서 쓴 넋두리 정도로 봐주면 한다.,2
신중하다고 폼잡던 사람이 잠깐 뿌리채 흔들려 마음 정리하고 갔다고 생각하면 된다.,2
잘가요.,2
고마웠습니다.,3
당신은 결국 보지 못할 여기에 이렇게 글이라도 써야 완전히 잊을 수 있을 것 같았어요.,1
"어딜가든 좋은 사람, 잔잔하고 평화로운 일상이 함께하기를 진심으로 기도합니다.",3
안녕.,2
크리스마스가 다가와서 그런건지,2
혼자인 시간이 제법 길어서 외로워 그런건지,1
얼마전에 잠깐 본 너때문에 그런건지,2
하루종일 답답하고 꽉막힌 기분이다,1
그래도 확실한건,2
"무엇 때문이든 너를 다시 본다면, 아니 너에게 연락이라도 온다면 이 기분은 언제 그랬냐는 듯 하늘을 나는 기분이 될 것이란 것 정도이다",3
크리스마스에 데이트 한답시고 밖에서 추위와 많은 사람들에 치여 힘들어 할 커플들이 벌써 불쌍하네요ㅜ,1
저는 따뜻한 이불 속에서 케빈과 함께 할 생각에 너무 행복해요,3
"""오늘 하루도 거의 끝나가네, 일 하느라 고생 많았어.""",3
"""네 하루는 아직도 한참 남았잖아""""",2
"""그래, 내 하루는 아직 1시간이나 남았지.",2
"너가 먼저 자니까 당연한 일이잖아.""",2
나는 그의 말에 가볍게 대답할 뿐이었다.,2
"그저 하루가 끝날 때의 인삿말이었고, 우리가 매일 하던 관례였을 뿐이니까.",2
"""근데 나는 이게 좀 아쉬워.""",1
뭐가 아쉽냐는 듯이 고개를 갸우뚱 거리자 그는 귀엽다며 내 머리를 쓰다듬어주고는 이내 말을 시작했다.,3
""" 나는 네 하루가 끝날 때 내 하루도 끝났으면 좋겠어.",2
"그게 아니면 내 하루가 너 처럼 1시간 늦게 끝나거나 말이야.""",2
"""왜?""",2
"""너가 기다리는거 안 좋아한다고 했잖아, 너랑 같이 끝나면 네가 덜 기다려도 되잖아.""",2
"""음.",2
"내 생각 해줘서 고마워""",3
"""뭘, 내가 좋아서 하는건데.",2
"이제 자러갈게 내일보자.""",2
"""응 잘자.""",2
가벼운 말 이었다.,2
별 의미도 없던 한마디였다.,2
그저 인사였다.,2
그러나 그는 그렇게 받아들이지 않았다.,2
"아니, 그렇게 받아들였다 하더라도 나를 계속 염두해 두고 있었다는 듯 가볍지 않은 말로 대답했다.",2
"예전의 애인들, 친구들, 혹은 낯선이들은 적어도 내가 겪었던 70퍼센트의 사람들과 나 자신조차도 필요에 의해서 상대에게 사람을 만난다는 느낌을 들게 만들었다.",1
"연인의 마음을 염두하기 보단 자신의 욕구, 자신의 기분에 따라 연인을 대했다.",1
나 조차도 반성하는 부분이다.,2
"연인이 연락이 안되면 연락이 하고 싶어 징징대고, 연인이 본인을 서운하게 한다면 서운하고 미워하는 마음이 생겨 틱틱거리며, 연인을 보고싶은데 못 보는 상황이 반복된다면 괜히 연인에게 화를 내고 못되게 군다.",1
"연인의 마음을 알아주려고 노력하기 보단, 지금 당장 나의 감정이 더 중요하니까.",2
내가 서운한게 제일 크고 힘드니까.,1
당연한 이야기일 수도 있다.,2
그런데 그는 조금 달랐다.,2
"내가 사랑을 받아본 적 없는 바보같은 여자라서, 그 사람이 선수라서, 여자 마음을 잘 아는 남자라서 그것도 아니면 그저 지금 당장 나를 원하는 마음이 커서 그런걸 수도 있지만 적어도 지금 이 순간 이런 나를 아껴준다는, 나를 마음속으로 계속 염두해 두고 있다는 기분을 들게 만들어주는 사람은 없기에 그는 달라보였다.",3
"그는 연락이 하고 싶었을 때는 그저 묵묵히 내가 하는 일을 존중하고 믿어주며 기다려주었고, 내가 돌아와 당신에게 늦어서 미안하다고 말 할때",3
"""너가 해야할 일을 집중하는 것도 나한텐 중요해.",2
"미안하지 않아도 되는데 미안해 줘서 고마워""",3
라고 말했으며,2
"보고싶은데 못보는 상황이면 못보니까 아쉬우니 영상통화라도 하자고, 전화라도 하자고, 편지를 써준다고.",2
그런식으로 자기자신을 달래는 동시에 보고싶다고 징징거리는 나를 달래며 내 마음 먼저 챙겼다.,3
내가 행복한게 그에게 제일 중요하다는듯이.,3
우리는 우리 삶에서 이런 사람을 몇명이나 만날 수 있을까?,2
과연 자신의 행복보다 상대방의 행복을 더 소중하게 여기는 사람이 얼마나 있을까.,2
그 사람들 중에서 내가 그런 사람의 연인이 될 확률은 도대체 몇 퍼센트가 될까?,2
그리고 그 사람이 우연히 나의 이성 취향에 맞는 사람이라면?,2
우리는 로또의 당첨 확률보다 더 적은 확률로 그런 사람을 만날 수 있지 않을까 한다.,2
"만남을 지속하면서 그가 변하더라도, 그에게 내 행복이 더 중요한 순간이 이 순간 뿐이더라도, 그런 행동과 생각을 하는 순간은 내 삶에서 정말 소중한 경험이 될 것이다.",3
오롯이 나만의 행복을 위해 사랑을 하는 사람이 있다는 것은 그 어떤 사랑 경험과도 비교할 수 없을 만큼 값진 경험이 될 것이다.,3
나는 그런 사람을 만났다고 믿고있다.,2
값진 경험을 하고 있다고 생각한다.,3
이 순간을 지키기 위해 정말 최선을 다 할테다.,2
난 이 순간의 그를 최대한 사랑할 것이다.,2
"그의 온전한 사랑을 받고, 그 사랑을 그와의 인연이 다 할 때까지 돌려주기 위해.",2
내일이 오지 않으면 좋겠다 -,2
이런 생각을 하게 된지 꽤 오래 됐다.,2
"아마 오 년 조금 넘은 것 같은데, 이제는 매일 밤 내가 차에 치이거나 고층 건물에서 떨어지는 장면이 머리에서 재생되어도 그냥, 그러려니 한다.",1
"이제 입시, 대학교 입시는 나와는 거리가 꽤 먼 이야기가 되었지만, 다시 한번의 수능이 끝나고 원서를 어디에 넣을까, 하는 이야기들을 하는 동생들을 보며 내가 만약 친동생이 있었다면 꼭 한번쯤은 해주고 싶었을 이야기를 아무도 읽지 않을지도 모르는 대나무숲 제보 창에 써본다.",2
"나는 두괄식으로 쓰여진 글을 좋아하니까, 힘들면 쉬어도 된다.",2
힘들면 쉬어도 된다는 말만 누군가 한명이라도 꼭 마음에 새겨 줬으면 좋겠다.,2
나에게는 그런 말을 해주는 사람이 아무도 없었다.,1
뛰어내릴 생각으로 옥상에 올라갔을 때조차도.,0
"조금만 참고 견디면 수시 접수가 끝나고, 수능이 끝나고, 입시가 끝나는데.",2
조금만 더 열심히 하면 좋은 대학에 갈 수 있는데.,2
조금만 더 견뎌보라고 다들 그랬다.,2
"조금만 더, 조금만 더.",2
참 좆같은 말이다.,0
"그런 말을 들을 때마다 난 오늘 당장 죽고 싶은데 받을지 못 받을지도 모르는 수능 1등급, 명문대 졸업장- 다 무슨 소용이 있나요, 라고 묻고 싶었다.",0
"그래도 난 끝까지 하는게 맞는 거라고 배워왔으니까, 한국 사회에서는 참고 견디는게 미덕이니까, 일단 했다.",2
"스트레스를 어떻게 풀어야 할지도 모르겠어서 아무도 안 보는 곳에서 손목을 그어가며, 손목시계로 흉터를 가려가면서 했다.",0
"내신도 좋은 편이었고, 수능도 잘 봤고, 어쨌든 명문대라고 쳐주는 대학에 왔다.",3
"와서도 고등학생 때와 똑같이 참아가며 공부하다가 갑자기, 어느 순간부터 글자가 눈에 안 들어오기 시작했다.",1
"어렸을 때부터 독서 중독이라는 말까지 들을 정도로 책을 좋아했던 내가, 강의 교재는 물론이고 좋아하는 작가의 소설책조차 읽지 못하게 되었다.",0
처음엔 글자에서 시작했다가 나중엔 다른 일에까지 번지더라.,2
지금은 나에게서 집중력 자체가 사라진 느낌이다.,1
"당연히 더이상 공부를 계속할 수 없는 상황이 되었고, 결국 n학기 째 휴학 중이다.",1
"방학때 한 두달 쉬면 나아지겠지, 한 학기 쉬면 나아지겠지, 하다가 이제는 나도 모르겠다.",1
"언제 나아질지, 나아질 수는 있는건지.",1
"공부 이외에 별다른 재능이 없던 나에게 유일한 장점과 같은 역할을 했던 집중력과 학습능력이 없어지니까, 그냥 아주 쓸모없는 인간이 된 기분이다.",0
비참하고 좆같다.,0
"공부를 못 하니 졸업도 못 하겠고, 공시 준비 자격증 준비 아무것도 못 하겠고, 그냥 이대로 부모님께 얹혀 살다가 사고로 고통 없이 죽는게 내 꿈이라면 꿈이다.",0
다시 한번 말해주고 싶다.,2
힘들면 쉬어도 된다고.,2
"아니, 힘들면 제발 쉬라고.",1
"감기가 심해지기 전에 괜히 으슬으슬하고 콧물이 나오면서 몸에서 신호가 오는 것처럼, 정신이 힘들어도 분명 신호가 있다.",2
"무시하지 말고, 무조건 참아야 한다고 생각하지 말고, 제발 쉬어라.",2
"쉬면서 병원에서 치료를 받든, 그럴 형편이 안되거나 병원에 다니기 싫으면 상담과 같은 다른 방법을 찾든, 어떻게든 조치를 취해야 한다.",1
나처럼 되지 말았으면 좋겠다.,1
"글을 다 쓰고 읽어보니까 내가 뭐 때문에 힘들었고 대체 뭘 참았다는 건지 안 썼는데, 나도 설명이 잘 안 된다.",1
"굳이 말해보자면, 숨이 막히고 심장 조이고 별거 아닌거에 스트레스 정말 많이 받고 그런 증상인데, 남들보다 스트레스에 대한 민감도가 엄청 높은 것 같다.",0
정신과 의사 말로는 우울증 포함한 이런저런 정신질환이란다.,1
정확히 뭔지는 내 신상 때문에 안 쓸게.,2
여튼 그거 때문인가 보다.,2
이것도 늦게 알았다.,2
정신과 가기 무서웠거든.,1
빨리 가 제발,2
겨울이 다가오면 너한테서 나던 은은한 담배냄새가 너와 함께 피어 오른다.,2
"소개팅으로 만난 넌, 처음부터 나에게 적극적으로 관심을 표현했다.",2
"넌 내 이상형과는 거리가 멀었지만 우리가 들리던 모든 가게의 종업원들에게 꾸벅꾸벅 감사한다며 고개를 숙이던 모습이, 내가 말할 땐 시선을 한 번도 흐트리지 않고 나만 바라봐주던 모습이, 내 고민에 마치 네 일인양 하루종일 고민해 조심스레 해답을 내놓는 모습이 좋아서 너의 손을 잡았었다.",3
넌 사귀고 나서도 그 모습을 단 한 번도 잃지 않았다.,2
그래서 너가 어쩌면 더 좋았는지도 모른다.,3
"담배얘기로 돌아가자면, 난 솔직히 흡연자를 그닥 좋아하지는 않았다.",2
그건 지금도 마찬가지다.,2
"우리 아빠도, 오빠도 담배를 피우지만 비흡연자인 내 입장에서 그 담배냄새가 늘 좋을린 없었다.",1
너도 당연히 담배를 피우지 않을거라 생각해 물어보지는 않았었다.,2
그러다 너가 흡연자란 사실을 알게 된건 너에게 비밀로 하고 너의 학교에 놀러갔을 때였다.,2
"너가 공부하던 열람실이 어디냐 물은 뒤, 왜 묻냐는 너의 질문에 이리저리 둘러댄 뒤 너가 좋아하는 간식을 사들고 몰래 건물 앞으로 가던 중이였다.",2
밖에 있던 흡연구역에 가만히 서서 담배를 피우던 너가 선명하다.,2
겨울철 입김과 섞여 공중으로 흩날리는 담배연기가 또렷하게 보였다.,2
"너에게서 한 번도 담배냄새를 맡지 못했고, 라이터조차 본 적이 없는데.",2
솔직히 털어놓자면 그건 나름의 충격이었다.,1
"담배를 다 피운 넌, 꽁초를 쓰레기통에 버린 뒤 습관처럼 주위를 쓱 둘러보다 나와 눈이 마주쳐버리고 말았다.",2
넌 나와 눈이 마주치더니 그대로 얼음이 돼버렸다.,2
카페에 앉아 주저리주저리 변명을 늘어놓는 너가 밉다기보단 귀여웠다.,3
"어떻게 나랑 만날 땐 참았냐고, 냄새가 나지 않았냐 물었다.",2
넌 되게 엉뚱한 표정을 지었다.,2
'어떻게 널 만나는 날 담배를 피우고 가?',2
넌 날 만나는 날엔 아침부터 나와 헤어질 때까지 절대 담배를 손에 대지 않았다고 했다.,2
어쩌면 너가 그토록 좋아하던 향수 때문에 어제의 네 담배냄새 역시 나지 않았을 수도 있겠다.,2
꽤 오랜 시간동안 흡연자였던 너가 참았다는 말에 나름 기특했다.,3
"한 가지 더 안 사실은, 넌 무조건 왼손으로만 내 손을 잡았다.",2
오른손으로 담배를 태우는 네 습관때문에 혹시라도 내 손에 냄새가 묻어날라 걱정하는 마음 때문이라고 했다.,2
쩔쩔매는 네 모습도 역시 귀여웠다.,3
끊겠다고 다짐하는 너에게 굳이 그러지는 말라했다.,2
금연하겠다고 고생하는 아빠와 오빠의 모습이 눈에 선했기 때문이다.,1
그 이후로도 너는 절대 나에게 담배냄새를 풍기지 않았다.,2
1년을 넘게 만나는 시간동안 어떻게 그랬는지 신기하다.,2
문득 네 담배냄새가 궁금하면 너랑 만나기로 하지 않은 날 몰래 널 찾아가면 됐다.,2
그리고 너의 오른손을 잡으면 됐다.,2
넌 화를 내곤 했지만 계속 징징대는 날 말리진 않았다.,1
"네 손에서, 코트 소매 끝에서 나는 그 은은한 담배항은 널 생각하게 했고 날 위한 네 노력을 생각나게 했다.",3
실제로 넌 날 만나는 동안 굉장히 흡연량을 줄였다고도 했으니 말이다.,2
"특히 소매 끝에서 나는 향수냄새와 담배냄새가 섞이면 뭐랄까, 섹시하다고 표현해야 할까.",3
그렇게 날 두근거리게 하는 냄새가 났다.,2
"아무튼, 그렇게 하루종일 네 오른손을 잡고 다니면 집으로 돌아가는 내내 내 손에서는 너의 향수와, 체취와, 그 담배냄새가 알맞게 섞여 계속 코를 킁킁거리게 했다.",3
그럼 너가 마음 속으로 찾아오는 듯 했다.,3
"키스를 하면 바로 냄새가 난다는데, 몰래 찾아온 날엔 넌 절대로 입을 맞춰주지 않았다.",2
그 다음날 만나면 누구보다 달콤하게 입을 맞춰줬기 때문에 괜찮긴 했다.,3
두번의 겨울을 같이 보낸 후 우리는 벚꽃이 질 때 같이 헤어졌다.,1
벚꽃이 땅으로 떨어질 때 우리관계 역시 같이 사그라졌다.,1
내가 잘못했기 때문이다.,1
계속 용서를 구했지만 넌 고개를 저었다.,1
그 이후로 우린 연락을 하진 않았다.,2
"대신 담배를 피우는 내 친구, 동기, 선배, 후배, 가족을 보면 너가 몰래 생각났다.",2
그들이 만들어내는 독한 연기가 신기했다.,2
너에게서 나는 냄새는 전혀 그렇지 않았는데.,2
몇 달 전에는 호기심에 친구에게 담배를 빌려 처음으로 피워봤다.,2
켁켁거리는 기침과 함께 담배를 내던졌다.,1
넌 이렇게 아픈걸 뭐하러 피우는 걸까 또 궁금해져 괜시리 눈물이 났다.,1
얼마 전엔 친구의 강요로 소개팅에 나갔다.,2
너가 그랬듯 상대는 날 꽤 맘에 들어하는 눈치였다.,3
"그런데 그 상대는 종업원에게 인사를 하지도 않고, 메뉴판을 늦게 가져왔던 그에게 인상을 찌푸리고, 늘 두 손을 모아 카드를 건넸던 너와 달리 한 손으로 카드를 툭 던졌다.",1
"무엇보다 밥을 다 먹어갔을 때 그가 자랑스럽게, '아, 전 흡연 안해요.",2
나름 자랑거리에요 하하' 라며 멋쩍게 말을 건넸더니 난 널 생각하지 않을 수 없었다.,2
카페를 가자는 그에게 죄송하단 말을 건네고 도망치듯 집으로 돌아왔다.,1
"흡연자를 찾는다는 건 아니었는데, 담배를 싫어하는데, 왜 그랬을까.",2
이미 답을 아는 질문을 던져본다.,2
"겨울이 가득해, 하- 입김을 불어보면 너처럼 나도 입에서 연기같은게 나온다.",2
넌 여전히 담배를 피울까 궁금하기도 하다.,2
학교 주변을 돌아다니면 삼삼오오 모여 담배를 태우는 사람들이 보인다.,2
"그 중에 혹시 너가 있을까, 넌 우리 학교가 아닌데도 혹시 놀러오지는 않았을까 싶은 마음에 그 쪽을 쳐다보게 된 것이 벌써 1년이 다 되어간다.",1
너가 보고 싶다.,1
향수와 섞인 네 담배냄새가 그립다.,1
"내 손에서는 이제 핸드크림 냄새만 나는데, 너의 향이 같이 섞였으면 좋겠다.",1
가끔 네 꿈을 꾸면 뿌연 담배연기 사이로 너가 사라지곤 한다.,1
그럼 난 화들짝 놀라 잠에서 깨곤 한다.,1
크리스마스가 얼마 남지 않았다.,2
"우리가 두 번의 크리스마스를 같이 보낸 것처럼, 그냥 아무렇지 않게 너에게 메리 크리스마스 라는 연락이 오길 기다리는건 바보 같은 짓이다.",1
그래서 난 오늘 핸드폰을 키고 너에게 연락할거다.,2
이미 할 말은 생각했다.,2
<사랑하는 아빠에게>,3
아빠 있잖아.,2
나 1학기 잘 버텼어.,3
반년 나름 잘 살아온 것 같아.,3
"아빠 없는 애라고, 불쌍한 애라고 대놓고 손가락질 받은 날도 없었구, 밖에서 남 앞에서 함부로 눈물 보인날도 없었구.",1
"아, 물론 3월달은 빼고 말이야.",2
아빠 돌아가신 그 날은 빼고.,1
"아빠, 아빠가 향기롭고 예쁜 꽃이 된지 벌써 4달이 지났네.",2
시간 참 빨라.,2
그치?,2
아빠도 내가 불쌍해?,1
친구들은 그런가봐.,2
아빠가 돌아가셨다는 걸 아는 친구들이 자꾸 묻는다?,1
아무렇지도 않게 여전히 밝고 시끄러운 나한테 자꾸 물어.,2
"""근데 너 괜찮아..?""",2
"""뭐가?",2
나야 뭐 엄마랑 오빠에 비하면 진짜 괜찮지~!,3
"그나저나 너 그거 들었어?.....""",2
나 진짜 괜찮아요.,3
"하루하루 야위어 가는 엄마보다 나 살만하구, 군대에서 비보를 들어 마지막 얼굴도 못 보고 간 오빠보다 진짜 괜찮아요.",1
내 걱정은 말아.,2
근데 아빠.,2
그거 알아?,2
나 5월까지 정말 잘 지냈다?,3
"신입생이라 바빠서 그랬는지, 첫 대학생활이 신기하고 재밌어서 그랬는지, 수많은 과제와 시험에 치여서 그랬는지, 나 울지도 않고 꿋꿋하게 잘 버텼어.",3
매일매일 통곡하는 엄마를 보면서도 나 눈물 한방울 안흘렸어요.,1
나 진짜 괜찮았거든.,3
"근데, 나 요즘 왜 이렇게 버티는게 힘이 들지.",1
왜 이렇게 아빠가 보고싶지.,1
집에 들어오면 제일 먼저 보이는 아빠의 구두흘 보면 요즘 들어 왜 이렇게 마음이 아리지.,1
